"match_id","ftir_idx","raman_idx","match_distance","match_score","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
43,47,625,4.31246492164835,4.5403728635208,"MP_-1",2450,3575,1250,50,31.8,30,50,"Protein",0.687,"Comparstic Spotlight F2Ba Au 240926.csv",-4223,-1420,4443.49058804072,692.619017876662,"355",9797.81988600638,3022.14388377569,738.859,39.098,28.002,26.966,41.077,"Polycarbonate (PC)",10.8,"Comparstic Raman F2Ba Au IAEA 240930.csv",4440.73893295041,695.939522049886,1,344.566722809493,0.0125156163847913,FALSE
44,48,303,19.7680793564182,20.5675580172309,"MP_-1",2500,3200,2500,60.4,52.7,50,60.4,"Protein",0.786,"Comparstic Spotlight F2Ba Au 240926.csv",-4173,-1795,4421.61963526783,1069.51380000584,"73",9797.81988600638,3390.69527236729,319.502,32.068,22.732,22.732,35.018,"Polyacrylamide/acrylate",72.1,"Comparstic Raman F2Ba Au IAEA 240930.csv",4440.73893295041,1064.49091064149,1,281.940705045371,0.0701143148281373,FALSE
45,49,83,12.416297395557,12.703563529164,"MP_-1",2500,4775,3125,80.9,49.2,62.5,80.9,"Protein",0.746,"Comparstic Spotlight F2Ba Au 240926.csv",-4173,-220,4304.49870872681,-497.828161397918,"597",9672.09908522513,1834.97212114726,1628.819,58.434,37.118,37.107,60.427,"Polyamide (PA)",91.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",4315.01813216916,-491.232240578544,1,84.6911463959076,0.146606793318327,FALSE
46,50,677,19.8666673514811,20.0814967532761,"MP_-1",2550,5175,1250,50,31.8,50,50,"Cellulose",0.687,"Comparstic Spotlight F2Ba Au 240926.csv",-4123,180,4224.99682384643,-892.165138054715,"208",9598.04436695672,1422.217528628,1201.717,86.589,34.178,34.178,86.684,"Polycarbonate (PC)",8.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",4240.96341390075,-903.986833097804,1,76.3260054674998,0.260287004799962,FALSE
47,51,546,18.1873028800475,18.6959999202593,"MP_-1",2600,4750,1875,60.4,39.6,50,60.4,"Protein",0.696,"Comparstic Spotlight F2Ba Au 240926.csv",-4073,-245,4206.84399572563,-465.513468261921,"584",9581.39640703592,1855.6385541524,669.818,31.095,29.513,29.513,34.39,"Polyether sulphone (PES)",16.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",4224.31545397995,-470.565807573404,1,111.189473623975,0.163570365856341,FALSE
48,52,384,20.3337482419143,20.721063740037,"MP_-1",2600,2050,3750,100,47.7,50,100,"Cellulose",0.845,"Comparstic Spotlight F2Ba Au 240926.csv",-4073,-2945,4407.62272693881,2221.3584655731,"648",9757.63515516306,4528.49722281678,1442.127,75.777,29.852,29.852,75.777,"Polyurethane (PU)",51.7,"Comparstic Raman F2Ba Au IAEA 240930.csv",4400.55420210709,2202.29286109098,1,209.019682029977,0.0972815002129707,FALSE
49,53,249,9.01749518336668,9.14374133725945,"MP_-1",2650,2950,625,31.8,25,25,31.8,"Protein",0.664,"Comparstic Spotlight F2Ba Au 240926.csv",-4023,-2045,4290.93959553747,1329.45261228019,"687",9652.58078738694,3647.87754976455,483.29,25.833,25.259,25.231,28.821,"Cellulose Acetate Butyrate (CAB)",81.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",4295.49983433097,1321.67318803875,1,164.709009759161,0.0547480383529239,FALSE
50,54,75,10.397882064139,10.7534916728384,"MP_-1",2675,5600,1875,60.4,39.6,30,60.4,"Protein",0.838,"Comparstic Spotlight F2Ba Au 240926.csv",-3998,605,4069.00054514459,-1305.80337156517,"628",9424.67595674696,1030.70343669735,794.389,46.029,25.586,25.586,45.839,"Cellulose Acetate Butyrate (CAB)",91.99,"Comparstic Raman F2Ba Au IAEA 240930.csv",4067.59500369099,-1295.50092502845,1,188.719057367313,0.0550971492184866,FALSE
51,55,611,12.6414115456509,13.3489397865724,"MP_-1",2675,8050,1875,60.4,39.6,30,60.4,"Protein",0.73,"Comparstic Spotlight F2Ba Au 240926.csv",-3998,3055,3886.81243719189,-3743.89086708214,"289",9232.93738386597,-1411.38006340968,398.925,28.587,24.538,24.538,29.046,"Polyether sulphone (PES)",11.82,"Comparstic Raman F2Ba Au IAEA 240930.csv",3875.85643081,-3737.58442513548,1,205.099463688954,0.0616355173157467,FALSE
52,56,753,30.0124688810205,30.0682686812351,"MP_4",3075,1275,140625,743.7,240.7,352.5,743.7,"PET",0.911,"Comparstic Spotlight F2Ba Au 240926.csv",-3598,-3720,3992.56322624199,3027.91240855399,"1",9359.80631981417,5325.87709626498,150249.579,784.432,326.916,326.916,778.189,"Polyethylene terephtalate (PET)",3.17,"Comparstic Raman F2Ba Au IAEA 240930.csv",4002.7253667582,2999.67273453918,1,353.852075675722,0.0848164273834149,FALSE
53,57,407,20.6133056298333,20.9001442070967,"MP_-1",2750,6500,2500,80.9,39.3,50,80.9,"Protein",0.835,"Comparstic Spotlight F2Ba Au 240926.csv",-3923,1505,3927.43896991144,-2195.85016253204,"697",9264.51110095715,125.39885755565,1504.247,54.205,42.936,40.841,58.791,"Polyacrylamide/acrylate",43.48,"Comparstic Raman F2Ba Au IAEA 240930.csv",3907.43014790118,-2200.80550417015,1,198.705023846351,0.103738220759695,FALSE
54,58,689,6.06964126681018,6.52056948356904,"MP_-1",2775,7850,1875,60.4,39.6,30,60.4,"Protein",0.712,"Comparstic Spotlight F2Ba Au 240926.csv",-3898,2855,3802.17116047305,-3537.4270671235,"134",9153.71605734628,-1208.73420644264,632.249,41.458,23.065,23.065,41.907,"Polyvinyl Chloride (PVC)",7.34,"Comparstic Raman F2Ba Au IAEA 240930.csv",3796.63510429031,-3534.93856816844,1,177.337264189443,0.0342265416947349,FALSE
55,59,126,56.8450616028922,57.1979190561433,"MP_-1",2800,5050,1875,60.4,39.6,30,60.4,"Protein",0.759,"Comparstic Spotlight F2Ba Au 240926.csv",-3873,55,3985.50769715861,-749.182295635206,"21",9285.75160154576,1576.06764099957,3950.524,84.124,66.733,65.01,87.716,"Polyethylene terephtalate (PET)",90.7,"Comparstic Raman F2Ba Au IAEA 240930.csv",3928.67064848979,-750.136720726234,0,107.29248571796,0.529814005356542,FALSE
56,60,131,8.02226957321067,8.21883658274049,"MP_5",2925,5850,19375,255.4,96.6,150,255.4,"PET",0.802,"Comparstic Spotlight F2Ba Au 240926.csv",-3748,855,3801.62548356605,-1535.99718662275,"10",9153.1419897628,784.42844338613,30271.969,274.763,170.819,170.819,276.242,"Polyethylene terephtalate (PET)",90.65,"Comparstic Raman F2Ba Au IAEA 240930.csv",3796.06103670683,-1541.77591833967,1,232.184186788674,0.0345513175732,FALSE
57,61,363,16.4168082581352,16.8129694929387,"MP_-1",2900,2850,5000,95.7,66.5,75,95.7,"Cellulose",0.819,"Comparstic Spotlight F2Ba Au 240926.csv",-3773,-2145,4049.59140652361,1447.55701086789,"570",9414.34274024439,3759.2466609589,2044.386,62.249,47.296,47.296,64.296,"Polyamide (PA)",57.42,"Comparstic Raman F2Ba Au IAEA 240930.csv",4057.26178718842,1433.0422992331,2,41.7060553919651,0.393631286964097,FALSE
